path,source,content_type,frames,width,height,lossy,kb_orig,kb_compressed,compression_ratio,success,error,runtime_s,frame_reduction,frame_reduction_class,frames_deduplicated,frame_dedup,frame_loss,alignment_accuracy,alignment_warning,banding_patch_count,banding_score_mean,banding_score_p95,chist,chist_first,chist_last,chist_max,chist_mean,chist_middle,chist_min,chist_positional_variance,chist_std,color_count_compressed,color_count_original,color_patch_count,composite_quality,compressed_frame_count,deep_perceptual_downscaled,deep_perceptual_frame_count,deltae_max,deltae_mean,deltae_p95,deltae_pct_gt1,deltae_pct_gt2,deltae_pct_gt3,deltae_pct_gt5,disposal_artifacts_compressed,disposal_artifacts_compressed_max,disposal_artifacts_compressed_min,disposal_artifacts_compressed_std,disposal_artifacts_delta,disposal_artifacts_original,disposal_artifacts_post,disposal_artifacts_pre,dither_quality_score,dither_ratio_mean,dither_ratio_p95,duration_diff_ms,edge_sharpness_score,edge_similarity,edge_similarity_max,edge_similarity_mean,edge_similarity_min,edge_similarity_std,efficiency,flat_flicker_ratio_compressed,flat_region_count_compressed,flicker_excess_compressed,flicker_frame_ratio_compressed,frame_count,fsim,fsim_first,fsim_last,fsim_max,fsim_mean,fsim_middle,fsim_min,fsim_positional_variance,fsim_std,gmsd,gmsd_max,gmsd_mean,gmsd_min,gmsd_std,gradient_region_count,grid_length,has_text_ui_content,kilobytes,lpips_quality_max,lpips_quality_mean,lpips_quality_p95,lpips_t_mean_compressed,lpips_t_p95_compressed,max_timing_drift_ms,ms_ssim,ms_ssim_max,ms_ssim_mean,ms_ssim_min,ms_ssim_std,mse,mse_first,mse_last,mse_max,mse_mean,mse_middle,mse_min,mse_positional_variance,mse_std,mtf50_ratio_mean,mtf50_ratio_min,ocr_conf_delta_mean,ocr_conf_delta_min,ocr_regions_analyzed,palette_distance,posterization_score,psnr,psnr_max,psnr_mean,psnr_min,psnr_std,quality_oscillation_frequency_compressed,render_ms,rmse,rmse_max,rmse_mean,rmse_min,rmse_std,sharpness_similarity,sharpness_similarity_max,sharpness_similarity_mean,sharpness_similarity_min,sharpness_similarity_std,ssim,ssim_first,ssim_last,ssim_max,ssim_mean,ssim_middle,ssim_min,ssim_positional_variance,ssim_std,ssimulacra2_frame_count,ssimulacra2_mean,ssimulacra2_min,ssimulacra2_p95,ssimulacra2_triggered,temporal_consistency_compressed,temporal_consistency_compressed_max,temporal_consistency_compressed_min,temporal_consistency_compressed_std,temporal_consistency_delta,temporal_consistency_original,temporal_consistency_post,temporal_consistency_pre,temporal_pumping_score_compressed,text_ui_component_count,text_ui_edge_density,texture_similarity,texture_similarity_max,texture_similarity_mean,texture_similarity_min,texture_similarity_std,timing_drift_score,timing_grid_ms,transparency_artifact_score
/Users/lachlants/Documents/GIFs/Email/https___media.wordfly.com_malthousetheatre_emails_ah-2025-echo-australian-reviews_echo-ben-lawson-reviews.gif,real,,3,1920,1080,0,1234.08,1234.08,1.0,True,,915.61,0.0,none,0.0,False,False,1.0,0.0,22.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,249.33333333333337,249.33333333333337,48.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6386609607260186,0.6386609607260186,0.6386609607260186,0.0,0.0,0.6386609607260186,0.6386609607260186,0.6386609607260186,17.02018626292342,2.643437776415911,3.882967902652037,0.0,100.0,1.0,1.0,1.0,1.0,0.0,0.4771480364592869,0.6086060883497367,3300.0,0.6292115557193756,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,471.0,1.0,1234.083984375,0.0,0.0,0.0,0.6492115557193756,0.6803613096475601,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,121.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.5,915612.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.9998958920225436,0.9998958920225436,0.9998958920225436,0.0,0.0,0.9998958920225436,0.9998958920225436,0.9998958920225436,0.0035710763060016,120.0,0.0586270254629629,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/Email/https___media.wordfly.com_malthousetheatre_emails_ah-2025-echo-australian-reviews_echo-ben-lawson-reviews.gif,real,,3,1920,1080,20,1234.08,1301.82,0.9479651450638678,True,,905.73,0.0,none,0.0,False,False,1.0,0.0,22.0,13.67339767989258,97.00086312796334,0.9999807907879652,0.9999911309147952,0.9999962609848404,0.9999962609848404,0.9999807907879652,0.9999549804642602,0.9999549804642602,3.3747267465724386e-10,1.8370429354188865e-05,249.33333333333337,249.33333333333337,48.0,0.8181047581141068,3.0,1.0,3.0,1.6773958206176758,0.8041510799897272,1.5814539670944214,27.083333333333332,0.0,0.0,0.0,0.6391887757556806,0.6391887757556806,0.6391887757556806,0.0,0.0005278150296619,0.6386609607260186,0.6391887757556806,0.6386609607260186,20.562239290614126,2.006922101723969,2.686730754616239,0.0,100.0,0.8693282745537639,0.8722721828627109,0.8693282745537639,0.7993425484331635,0.0337069067020504,0.423289876723071,0.6101363401023989,3300.0,0.631641845703125,1.0,3.0,0.5990428924560547,0.6261208653450012,0.5786368250846863,0.6261208653450012,0.5990428924560547,0.5923709869384766,0.5786368250846863,0.0003980461748582,0.0199510945779493,0.2451847493648529,0.2482781708240509,0.2451847493648529,0.2423087805509567,0.0024418393747118,22.0,471.0,1.0,1301.82421875,0.0123681128025054,0.0100481268018484,0.0120478793978691,0.651641845703125,0.6840038776397706,0.0,0.9584792713831414,0.9666438366136352,0.9584792713831414,0.951744541089598,0.0061660669657051,10.5287815729777,9.363199234008787,10.376327514648438,11.84681797027588,10.5287815729777,11.84681797027588,9.363199234008787,1.0396814578066873,1.0196477125981736,1.000539447306579,1.000539447306579,-0.0685897435897436,-0.0685897435897436,121.0,0.0,0.0027196451209609,0.7585447600480943,0.7683311861447468,37.92723800240472,0.7478957611763886,0.0083649934151616,0.5,905734.0,3.2410286468015346,3.4419206804160782,3.2410286468015346,3.0599345146602057,0.156572295089256,0.9889464843806768,0.9932035443122984,0.9889464843806768,0.9856155049438547,0.0031662600626395,0.9105415224267088,0.92752888164594,0.9076175517298244,0.92752888164594,0.9105415224267088,0.8964781339043614,0.8964781339043614,0.0001649662915366,0.0128439204114881,3.0,0.7982698228333334,0.7683548157500001,0.8298954951749999,1.0,0.999891341730074,0.999891341730074,0.999891341730074,0.0,4.550292469485129e-06,0.9998958920225436,0.999891341730074,0.9998958920225436,0.0034562003618405,120.0,0.0586270254629629,0.9973268987481332,0.9983366888807896,0.9973268987481332,0.9965126111832782,0.0007461009610596,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/Email/https___media.wordfly.com_malthousetheatre_emails_ah-2025-echo-australian-reviews_echo-ben-lawson-reviews.gif,real,,3,1920,1080,40,1234.08,768.03,1.6068086772871588,True,,866.33,0.0,none,0.0,False,False,1.0,0.0,22.0,27.978819591755215,100.0,0.999973229948754,0.999993019815929,0.9999890032915456,0.999993019815929,0.999973229948754,0.9999376667387871,0.9999376667387871,6.350596962566613e-10,2.5200390795713097e-05,249.33333333333337,249.33333333333337,48.0,0.7505807006075788,3.0,1.0,3.0,2.943260669708252,1.399259736140569,2.749238562583923,52.083333333333336,29.166666666666668,0.0,0.0,0.6464154296381217,0.6464154296381217,0.6464154296381217,0.0,0.007754468912103,0.6386609607260186,0.6464154296381217,0.6386609607260186,39.550102429184086,1.6324012636508538,2.180556809577327,0.0,100.0,0.6297092002825703,0.6705724096428192,0.6297092002825703,0.571825681492109,0.0405123025858338,0.486016024338508,0.6031906661110781,3300.0,0.6325889039039612,1.0,3.0,0.5083982547124227,0.5273380875587463,0.496001124382019,0.5273380875587463,0.5083982547124227,0.5018555521965027,0.496001124382019,0.0001850710216291,0.0136040810652235,0.2609906792640686,0.2649979591369629,0.2609906792640686,0.2570008337497711,0.0032648360430769,22.0,471.0,1.0,768.0341796875,0.0305100288242101,0.0235877608259518,0.0299374492838978,0.6525889039039612,0.6801033258438111,0.0,0.9172132018663278,0.93813220255757,0.9172132018663278,0.898849990388817,0.0161384033100449,26.73460070292155,27.65789031982422,24.397546768188477,28.148365020751953,26.73460070292155,28.148365020751953,24.397546768188477,2.771004785634028,1.6646335289288234,1.036126962092187,1.036126962092187,-0.0637179487179487,-0.0637179487179487,121.0,0.0,0.0024457734725591,0.677374853268348,0.6851468706318932,33.8687426634174,0.6727253709224059,0.005530887961278,0.5,866326.0,5.167989169727889,5.305503276858092,5.167989169727889,4.939387286717704,0.1627533240729471,0.868518174173782,0.9069699638011064,0.868518174173782,0.8224365150957074,0.0349298074084174,0.8280374297711234,0.868253251883085,0.8232872638335221,0.868253251883085,0.8280374297711234,0.792571773596763,0.792571773596763,0.0009658963974845,0.0310788738130026,3.0,0.5365056339166667,0.4617210345,0.616088235125,1.0,0.9998891567856588,0.9998891567856588,0.9998891567856588,0.0,6.735236884658491e-06,0.9998958920225436,0.9998891567856588,0.9998958920225436,0.0028768573676215,120.0,0.0586270254629629,0.9928481705540272,0.9940453861623348,0.9928481705540272,0.9917651464163032,0.0009312929957292,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/Email/https___media.wordfly.com_malthousetheatre_emails_ah-2025-echo-australian-reviews_echo-ben-lawson-reviews.gif,real,,3,1920,1080,60,1234.08,589.34,2.094024656989461,True,,806.1,0.0,none,0.0,False,False,1.0,0.0,22.0,44.2262636531483,100.0,0.9999489774165472,0.9999881124782282,0.999989614737464,0.999989614737464,0.9999489774165472,0.9998692050339496,0.9998692050339496,3.182192643129244e-09,5.64109266288832e-05,249.0,249.33333333333337,48.0,0.7126314258990001,3.0,1.0,3.0,4.085877418518066,1.697507880628109,3.730875313282013,54.166666666666664,37.5,16.666666666666664,0.0,0.6448298207017266,0.6448298207017266,0.6448298207017266,0.0,0.0061688599757079,0.6386609607260186,0.6448298207017266,0.6386609607260186,45.1206288329481,1.5862485993113038,2.179284344731494,0.0,100.0,0.4977177646155116,0.5642981101434508,0.4977177646155116,0.4379933410646814,0.0515890210877598,0.514174777436748,0.6085938488798887,3300.0,0.6363412845134735,1.0,3.0,0.483910212914149,0.4971973598003387,0.4781982600688934,0.4971973598003387,0.483910212914149,0.4763350188732147,0.4763350188732147,8.885274747980373e-05,0.0094261735332956,0.266618808110555,0.2716008722782135,0.266618808110555,0.2636227905750274,0.0035468984417776,22.0,471.0,1.0,589.3359375,0.0473406761884689,0.0389749029030402,0.0469921253621578,0.6563412845134735,0.680196824669838,0.0,0.8930132915650179,0.918917518914764,0.8930132915650179,0.8683763356246158,0.020652801016017,40.13153203328451,45.728797912597656,34.461978912353516,45.728797912597656,40.13153203328451,40.203819274902344,34.461978912353516,21.15948112002742,4.5999435996572196,1.1506349224584689,1.1506349224584689,-0.078076923076923,-0.078076923076923,121.0,0.0106239913525153,0.0012020866038723,0.6424962662596089,0.655148120629676,32.12481331298044,0.6305780586842917,0.0100440916036772,0.0,806103.0,6.324462639659007,6.762307144207342,6.324462639659007,5.870432600103123,0.3642860865335445,0.7065579750145824,0.7788512074672673,0.7065579750145824,0.6122598114697455,0.0697678820536524,0.7843892708270181,0.8304121565257477,0.7833338579521559,0.8304121565257477,0.7843892708270181,0.739421798003151,0.739421798003151,0.0013804311721799,0.0371541541712362,3.0,0.345144488125,0.25279415725,0.4533516912125,1.0,0.9998785604916324,0.9998785604916324,0.9998785604916324,0.0,1.7331530911102178e-05,0.9998958920225436,0.9998785604916324,0.9998958920225436,0.0,120.0,0.0586270254629629,0.9905959796035388,0.992604238646574,0.9905959796035388,0.9894083250349586,0.0013189849452055,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/Website/chat.gif,real,,105,1100,720,0,6355.24,6355.24,1.0,True,,256.61,0.0,none,0.0,False,False,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,255.0,255.0,480.0,1.0,105.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978857096475739,0.7978857096475739,0.7978857096475739,0.0,0.0,0.7978857096475739,0.7978857096475739,0.7978857096475739,47.47393725162999,1.1271190499396773,1.855287040659472,0.0,100.0,1.0,1.0,1.0,1.0,0.0,0.4771480364592869,0.2974262825975797,5849.0,0.0059726798226093,0.3103448275862069,105.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,1.0,6355.2431640625,0.0,0.0,0.0,0.0159775446438037,0.04119588509202,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,222.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.4137931034482758,256601.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.6043554755934211,0.6043554755934211,0.6043554755934211,0.0,0.0,0.6043554755934211,0.6043554755934211,0.6043554755934211,0.0005826503511548,38.0,0.0442373737373737,1.0,1.0,1.0,1.0,4.0539612963254114e-17,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/Website/chat.gif,real,,105,1100,720,20,6355.24,7614.32,0.8346435273585031,True,,260.39,0.0,none,0.0,False,False,1.0,0.0,0.0,0.0,0.0,0.9999653090569828,0.9999968006441412,0.999985681073466,0.9999972750756734,0.9999653090569828,0.9999783783965506,0.9999125056879794,5.737257204624691e-11,2.579407072981865e-05,255.0,255.0,480.0,0.8826844130441819,105.0,1.0,30.0,1.0607702732086182,0.5852395562144618,0.9700610846281053,1.875,0.0,0.0,0.0,0.811364334299389,0.811364334299389,0.811364334299389,0.0,0.0134786246518151,0.7978857096475739,0.811364334299389,0.7978857096475739,54.87238909672169,1.11110176020475,1.6988140925229993,0.0,100.0,0.9194244334094146,0.9321715921398732,0.9194244334094146,0.870892178936117,0.0146275481771798,0.4194535639860591,0.2993816557883889,5849.0,0.0059872985040319,0.3103448275862069,105.0,0.5290375938018163,0.4779496490955353,0.5535567998886108,0.554199755191803,0.5290375938018163,0.5244215130805969,0.4779496490955353,0.0009694378145197,0.0202601963165732,0.4309539477030436,0.441131591796875,0.4309539477030436,0.4201885461807251,0.0068690439038129,0.0,699.0,1.0,7614.3203125,0.00445127626881,0.0018842987017706,0.0029199088807217,0.0164123090979611,0.0414628162980079,0.0,0.9897494994484058,0.9913042558783168,0.9897494994484058,0.9879465202607608,0.0006138022928413,3.9897813399632778,3.1844570636749268,4.148871421813965,4.325972080230713,3.9897813399632778,4.009281158447266,3.1844570636749268,0.1811016981253917,0.250401561420749,1.0084982222156391,0.9932565672775336,-0.087736937777225,-0.1273529411764705,222.0,0.0,0.0126737376411703,0.8426130032294282,0.8620089924559662,42.13065016147143,0.835399326886409,0.0058257095056157,0.3103448275862069,260385.0,1.9963946671812935,2.079897132127143,1.9963946671812935,1.784504711026263,0.064727681971232,0.9843875393488096,0.9873428407092744,0.9843875393488096,0.9814701861308988,0.0018384966411025,0.9777824594119708,0.9771423008466598,0.9787476320122253,0.9811016178414844,0.9777824594119708,0.977406522109125,0.9739759055000748,4.939418665408245e-07,0.0012747133904256,30.0,0.9178073003125,0.90538744275,0.9287960908125,1.0,0.6289253653859852,0.6289253653859852,0.6289253653859852,0.0,0.0245698897925641,0.6043554755934211,0.6289253653859852,0.6043554755934211,0.0004769318388319,38.0,0.0442373737373737,0.9964646464684944,0.9979133624059772,0.9964646464684944,0.9948602520564138,0.0007172906807978,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/Website/chat.gif,real,,105,1100,720,40,6355.24,4846.04,1.3114293878623586,True,,258.67,0.0,none,0.0,False,False,1.0,0.0,0.0,0.0,0.0,0.9999180626702188,0.9999633820633717,0.9999283294678938,0.999990823979876,0.9999180626702188,0.9999754862418602,0.9997750891107484,3.9988410194760526e-10,6.261477586514452e-05,255.0,255.0,480.0,0.8200984983997177,105.0,1.0,30.0,2.796672105789185,1.4477085394163929,2.4995351433753967,73.33333333333333,23.958333333333336,0.0,0.0,0.7977360165193199,0.7977360165193199,0.7977360165193199,0.0,0.0001496931282539,0.7978857096475739,0.7977360165193199,0.7978857096475739,54.57869044829967,1.2636956579560628,1.7971764180211025,0.0,100.0,0.8155035821263663,0.8287669710908162,0.8155035821263663,0.7876486348840814,0.0094698812013522,0.4750734198623859,0.3008743356763244,5849.0,0.00738692592701,0.4137931034482758,105.0,0.4246981690327326,0.3696080446243286,0.4389335513114929,0.4561229348182678,0.4246981690327326,0.4195231199264526,0.3696080446243286,0.000852700607378,0.0213652972991588,0.4344899584849676,0.4436695277690887,0.4344899584849676,0.4257002770900726,0.0052174208964113,0.0,699.0,1.0,4846.04296875,0.0141588486731052,0.0110610599940021,0.013115690043196,0.0196831021538196,0.0438447937369346,0.0,0.9648829839992754,0.9710616332964658,0.9648829839992754,0.961207962783892,0.0018328227922589,18.026112588246665,15.173848152160645,19.45354461669922,19.953937530517575,18.026112588246665,17.73834991455078,15.173848152160645,3.0927071093515734,1.109326804321647,1.0218555824341196,0.9996477876361568,-0.0774638291257306,-0.1617647058823529,222.0,0.0,0.0061393959497674,0.7116042252700568,0.7263969379893673,35.58021126350284,0.7026103515733656,0.0054479150453902,0.4482758620689655,258670.0,4.243671425110681,4.4669830456939925,4.243671425110681,3.895362390350947,0.13177793421414,0.9147133162905964,0.9233942930397108,0.9147133162905964,0.903615360134698,0.0051668650838404,0.9259838971560764,0.931706612733862,0.9221031556673154,0.9381540938363736,0.9259838971560764,0.9252173655173516,0.9192704306134593,1.60038911173396e-05,0.0033737988299366,30.0,0.6637819890458333,0.630529083,0.7022512843875,1.0,0.6536201860202036,0.6536201860202036,0.6536201860202036,0.0,0.0492647104267824,0.6043554755934211,0.6536201860202036,0.6043554755934211,0.0006060021242626,38.0,0.0442373737373737,0.9928513495454084,0.9968399478269548,0.9928513495454084,0.9879777034350248,0.002475051716181,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/Website/chat.gif,real,,105,1100,720,60,6355.24,3547.46,1.7914916541824886,True,,256.91,0.0,none,0.0,False,False,1.0,0.0,0.0,0.0,0.0,0.9998749089243666,0.9999337782946058,0.999951367704242,0.99996796441476,0.9998749089243666,0.9999392043997196,0.9997365064628284,5.408621388433688e-11,8.65931209362711e-05,255.0,255.0,480.0,0.7868865355328489,105.0,1.0,30.0,4.137346267700195,2.0312970977897447,3.7459040880203247,81.66666666666667,39.166666666666664,20.208333333333332,0.0,0.7875810336108575,0.7875810336108575,0.7875810336108575,0.0,0.0103046760367163,0.7978857096475739,0.7875810336108575,0.7978857096475739,48.653682932994755,1.3653121306344422,1.8208723087202745,0.0,100.0,0.7200337001250282,0.7597418497271583,0.7200337001250282,0.6887232439257857,0.0193801759654024,0.5151005827799937,0.3110455019103855,5849.0,0.0096143646872249,0.5172413793103449,105.0,0.3843709975481033,0.3472220599651336,0.406184434890747,0.4086065590381622,0.3843709975481033,0.3753266334533691,0.3472220599651336,0.0005798480685969,0.0176379068641929,0.4330994337797165,0.4424168169498443,0.4330994337797165,0.4254258275032043,0.0047443150724486,0.0,699.0,1.0,3547.458984375,0.0336867347359657,0.0281430815036098,0.0317576562985777,0.023275729802694,0.0537051387131214,0.0,0.9450260019409956,0.9548396008148022,0.9450260019409956,0.9389667453895472,0.0034489732742214,33.437950452168785,27.725963592529297,37.2005615234375,37.25947189331055,33.437950452168785,32.76540756225586,27.725963592529297,14.981621348418736,2.4454823809135524,1.022086752886878,0.9965042367870912,-0.0908577063383493,-0.20475,222.0,0.0,0.0029671972764078,0.6580031267522446,0.6740387404658182,32.90015633761224,0.6483687559502953,0.0064115009323615,0.5172413793103449,256909.0,5.778659649059575,6.104053726279819,5.778659649059575,5.265544947346789,0.2122336271646438,0.8328431380405179,0.8456597093526527,0.8328431380405179,0.8156229333024563,0.0079826342112613,0.8866014827799282,0.8970219242050084,0.8746283406098644,0.9057348463520314,0.8866014827799282,0.8868364154039522,0.8746283406098644,8.380602954968185e-05,0.0066073006732497,30.0,0.5028088022416667,0.4568017757499999,0.54180156188125,1.0,0.6299823153427893,0.6299823153427893,0.6299823153427893,0.0,0.0256268397493681,0.6043554755934211,0.6299823153427893,0.6043554755934211,0.00076661003662,38.0,0.0442373737373737,0.9887912903901804,0.9953241137927092,0.9887912903901804,0.9851174736511172,0.0034657948904495,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_0682bb2f1d62db2dad6a2ed4b_images_da8e365e-0401-ebab-3906-953a6fb158c3.gif,real,,126,1080,574,0,665.66,664.63,1.0015560280290752,True,,161.8,0.0,none,0.0,False,False,1.0,0.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,253.7,253.7,480.0,1.0,126.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874961658426802,0.8874961658426802,0.8874961658426802,0.0,0.0,0.8874961658426802,0.8874961658426802,0.8874961658426802,21.20217815558434,1.2820253264474888,4.291978351373518,0.0,100.0,1.0,1.0,1.0,1.0,0.0,0.4774156415969634,0.2212144116906021,2760.0,0.0,0.0,126.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,504.0,1.0,664.6279296875,0.0,0.0,0.0,0.0024348990222933,0.0100880429148673,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,165.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.4827586206896552,161804.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,0.0905133280426063,0.0905133280426063,0.0905133280426063,0.0,0.0,0.0905133280426063,0.0905133280426063,0.0905133280426063,0.0006558533907804,32.0,0.0662440314879339,1.0,1.0,1.0,1.0,2.866583523299505e-17,0.0,10.0,0.0
/Users/lachlants/Documents/GIFs/test gifs/https___mcusercontent.com_0682bb2f1d62db2dad6a2ed4b_images_da8e365e-0401-ebab-3906-953a6fb158c3.gif,real,,126,1080,574,20,665.66,439.8,1.5135604435621757,True,,163.5,14.0,dedup,14.0,True,False,0.875,1.0,30.0,0.0303783954586833,0.0303783954586833,0.9999707829776938,0.999989365213774,0.9999861849980992,0.999989365213774,0.9999707829776938,0.9999279716980136,0.999651081273958,7.964517617793665e-10,6.198568785824855e-05,252.8,253.7,480.0,0.8846508025233129,112.0,1.0,30.0,0.7383468151092529,0.1581443422066513,0.7383468151092529,0.0,0.0,0.0,0.0,0.8866199261243852,0.8866199261243852,0.8866199261243852,0.0,0.0008762397182949,0.8874961658426802,0.8866199261243852,0.8874961658426802,51.98781862253456,1.1357253963718363,2.1716588648464854,0.0,90.57191965034072,0.7850029096731523,0.8016484229654307,0.7850029096731523,0.756133276262137,0.0108414986834907,0.5175129255707113,0.2232960325534079,2760.0,0.0,0.0,126.0,0.7068426231543223,0.7228017449378967,0.6957924962043762,0.7228017449378967,0.7068426231543223,0.7019543051719666,0.6867613792419434,0.0001335647946329,0.0095408404728858,0.3449576993783315,0.3541401028633117,0.3449576993783315,0.3365119695663452,0.0046554638563186,30.0,504.0,1.0,439.798828125,0.0038222279399633,0.0014990707937007,0.002540816203691,0.0024330092257577,0.0101064249873161,560.0,0.9862618601917932,0.9868613988729958,0.9862618601917932,0.981721004293822,0.0010128294090474,6.198398780822754,5.208984851837158,5.6079511642456055,11.72072982788086,6.198398780822754,9.774456024169922,5.208984851837158,4.262495987956805,1.596418383983403,0.9057191965034072,0.6639901142993094,-0.1505622617723396,-0.212,165.0,0.0167327533949509,0.0097134387351778,0.8063477308898155,0.8192654503033198,40.31738654449079,0.7488251471239488,0.0182003986939859,0.4482758620689655,163496.0,2.4730056472531943,3.4235551445654937,2.4730056472531943,2.282320059027033,0.2874749545204976,0.9475403969700108,0.9565295687512682,0.9475403969700108,0.9308073678809504,0.0046794049586018,0.9700923502007698,0.9712975907737904,0.971089966946337,0.9712975907737904,0.9700923502007698,0.9701874112835932,0.9611245031054464,2.3224587539245405e-07,0.0019873799015635,30.0,0.8660295186208332,0.624131177625,0.8959282850812499,1.0,0.1083485566515392,0.1083485566515392,0.1083485566515392,0.0,0.0178352286089329,0.0905133280426063,0.1083485566515392,0.0905133280426063,0.000616268621272,32.0,0.0662440314879339,0.9989739504754688,0.9992589589320188,0.9989739504754688,0.998688430502585,0.0001866985255606,1.0,10.0,0.0
